Action;Scene
Arranging Flowers;A girl arranges daisies.
Blowing Glass;An artisan blows glass.
Brush Painting;An artist paints a landscape using a brush.
Clay Pottery Making;An artist makes clay pots.
Drawing;A street artist sketches caricatures with a pencil.
Knitting;A grandmother knits yarn.
Making Jewelry;A teenager makes bracelets.
Spray Painting;A muralist spray paints a wall with various colors.
Weaving Basket;A villager weaves a basket using a vine.
High Jump;An athlete is performing a high jump.
Hurdling;A runner swiftly overcomes every hurdle on the track.
Long Jump;An Olympian is performing a long jump.
Parkour;A man performs breathtaking parkour moves across the cityscape.
Pole Vault;An athlete makes a pole vault bar.
Triple Jump;An athlete makes a triple jump.
Archery;A young athlete practices archery, her arrow flying straight to the target.
Catching or Throwing Frisbee;An frisbee player throws the disc with professional skills.
Disc Golfing;A disc golfer throws a disc towards a distant basket.
Hammer Throw;An athlete spins and releases the hammer.
Javelin Throw;A javelin thrower releases the spear.
Throwing Axe;A knight throws an axe with precision, hitting the target squarely.
Throwing Ball;A baseball pitcher throws a fastball.
Throwing Discus;An athlete throwes a discus to the air.
Changing Oil;Mechanic drains old oil, preparing for fresh oil for a car.
Changing Wheel;Technician changes a flat tire swiftly.
Checking Tires;Racer checks race car tires for performance.
Pumping Gas;The driver fills up car, monitoring the pump.
Bowling;A player at a bowling alley releases the ball, striking all pins with a satisfying crash.
Dodgeball;A player dodges a fast-approaching ball.
Dribbling Basketball;A basketball player deftly dribbles past opponents, heading towards the hoop.
Dunking Basketball;An athlete leaps high for a spectacular dunk.
Kicking Field Goal;A football player kicks a field goal from a long distance.
Kicking Soccer Ball;A soccer player delivers a powerful kick.
Passing American Football-In Game;In a crucial game moment, a player passes the football, dodging opponents.
Passing American Football-Not in Game;During a backyard game, a family is passing the American football.
Playing Basketball;A group of teenagers are playing basketball.
Playing Kickball;At a school, children play kickball.
Playing Volleyball;two men are playing beach volleyball.
Shooting Basketball;A Basketball player focuses and shoots from the three-point line.
Shooting Goal-Soccer;During a soccer match, a player shoots from a distance.
Shot Put;An athlete makes a shot put, it flying through the air.
Baby Waking Up;A baby wakes up, stretching arms and legs in a crib.
Bending Back;A yoga enthusiast bends back during a routine.
Cracking Neck;An athlete gently cracks their neck side to side.
Stretching Arm;A runner stretches arms before a marathon.
Stretching Leg;A dancer does a leg stretch at the barre.
Swinging Legs;A child swings legs on a high stool.
Exercising Arm;A bodybuilder performs arm exercises at the gym.
Exercising with Exercise Ball;A person uses an exercise ball for yoga at home.
Lunge;An athlete performs lunges in the park.
Bandaging;Nurse bandages patient's wound.
Folding Clothes;a mom folds clothes methodically.
Ironing;Tailor irons garments for boutique.
Tying Bow Tie;a Gentleman perfects his bow tie for an event.
